epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1921,5.23751,12.0787,4.12682,0,0,0,0,5.27794,4.6895,3.96572,0.0001625,0.0001625,0.0001625
2,14.0246,5.08229,9.15735,4.18276,0,0,0,0,5.26955,4.63965,3.96295,0.000263992,0.000263992,0.000263992
3,20.5121,4.82111,9.20494,4.11337,0,0,0,0,5.24885,4.58389,3.94278,0.000299483,0.000299483,0.000299483
4,26.07,4.93979,8.57215,4.10073,0,0,0,0,5.2096,4.44243,3.87259,0.000203,0.000203,0.000203
5,32.0925,4.71197,7.85058,4.12102,0.00246,0.02778,0.00136,0.0004,4.97839,3.7929,3.72124,0.000104,0.000104,0.000104
