Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
NL;736650858;5085;02-04-2024;Zwartbont;M;NL;626048037;24-06-2024;;6259491
NL;686350947;5094;25-03-2024;Zwartbont;M;NL;625447884;24-06-2024;;6259491
NL;686350954;5095;01-04-2024;Zwartbont;M;NL;638449420;24-06-2024;;6259491
NL;599651164;5116;14-02-2024;Eenkleurig zwart;M;NL;629925858;08-05-2024;;6259491
NL;923451260;5126;21-02-2024;Zwartbont;M;NL;562947726;08-05-2024;;6259491
NL;646151317;5131;13-05-2024;Zwartbont;M;NL;941614254;09-08-2024;;6259491
NL;932051334;5133;14-02-2024;Zwartbont;M;NL;678647514;08-05-2024;;6259491
NL;578051343;5134;08-01-2024;Zwartbont;M;NL;644646215;11-04-2024;;6259491
NL;592551449;5144;17-05-2024;Zwartbont;M;NL;714946278;16-08-2024;;6259491
NL;707651442;5144;27-03-2024;Zwartbont;M;NL;685246289;24-06-2024;;6259491
NL;713051502;5150;12-02-2024;Zwartbont;M;NL;675443089;08-05-2024;;6259491
NL;641251511;5151;03-04-2024;Zwartbont;M;NL;643245561;24-06-2024;;6259491
NL;707651550;5155;16-05-2024;Zwartbont;M;NL;899340377;16-08-2024;;6259491
NL;641251573;5157;17-05-2024;Zwartbont;M;NL;591247554;16-08-2024;;6259491
NL;878551585;5158;08-01-2024;Zwartbont;M;NL;663523780;11-04-2024;;6259491
NL;627651766;5176;06-01-2024;Blauwbont;V;NL;712047416;11-04-2024;;6259491
LU;518345184;5184;02-04-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;018395188;5188;08-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;592551881;5188;12-02-2024;Zwartbont;M;NL;662641081;08-05-2024;;6259491
LU;918395189;5189;08-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;645351923;5192;01-04-2024;Zwartbont;M;NL;582149669;24-06-2024;;6259491
BE;317985219;5219;31-03-2024;Zwartbont;M;BE;414716438;24-06-2024;;6259491
NL;968952481;5248;14-05-2024;Zwartbont;M;NL;626044275;09-08-2024;;6259491
LU;518355259;5259;03-01-2024;Zwartbont;M;;;11-04-2024;;6259491
NL;710952860;5286;02-04-2024;Roodbont;M;NL;742338030;24-06-2024;;6259491
NL;710952877;5287;01-04-2024;Zwartbont;M;NL;643645949;24-06-2024;;6259491
NL;572452913;5291;01-04-2024;Zwartbont;M;NL;599350362;24-06-2024;;6259491
BE;115425321;5321;01-04-2024;Zwartbont;M;BE;119392099;24-06-2024;;6259491
BE;815425322;5322;01-04-2024;Zwartbont;M;BE;421252240;24-06-2024;;6259491
BE;415425324;5324;02-04-2024;Roodbont;M;BE;623122132;24-06-2024;;6259491
BE;018085347;5347;04-01-2024;Zwartbont;M;BE;414904831;11-04-2024;;6259491
NL;562753673;5367;11-02-2024;Zwartbont;M;NL;916645159;08-05-2024;;6259491
NL;656453812;5381;07-01-2024;Zwartbont;M;NL;928644896;11-04-2024;;6259491
BE;118085386;5386;31-03-2024;Zwartbont;M;BE;314724788;24-06-2024;;6259491
LU;818335387;5387;13-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;117995394;5394;28-03-2024;Zwartbont;M;BE;114764595;24-06-2024;;6259491
NL;662753999;5399;15-02-2024;Zwartbont;M;NL;573849015;08-05-2024;;6259491
LU;018315405;5405;15-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;618185413;5413;16-05-2024;Zwart-wit;M;BE;618992238;16-08-2024;;6259491
NL;689454266;5426;19-05-2024;Zwartbont;M;NL;673348636;09-08-2024;;6259491
NL;946354261;5426;20-05-2024;Zwartbont;M;NL;611047269;09-08-2024;;6259491
NL;614754362;5436;16-02-2024;Zwartbont;M;NL;641146116;08-05-2024;;6259491
NL;614754379;5437;16-02-2024;Zwartbont;M;NL;581651194;08-05-2024;;6259491
NL;923454384;5438;27-03-2024;Zwartbont;M;NL;674444687;24-06-2024;;6259491
LU;618325444;5444;15-03-2024;Roodbont;M;;;24-06-2024;;6259491
BE;818145444;5444;16-05-2024;Zwartbont;M;BE;914108729;16-08-2024;;6259491
NL;946354456;5445;14-02-2024;Zwartbont;M;NL;611047081;08-05-2024;;6259491
NL;598554499;5449;17-05-2024;Zwartbont;M;NL;699947846;16-08-2024;;6259491
BE;717955456;5456;10-02-2024;Zwart-wit;M;BE;138112003;08-05-2024;;6259491
NL;878554731;5473;21-03-2024;Zwartbont;M;NL;724750007;24-06-2024;;6259491
NL;647754922;5492;14-05-2024;Zwartbont;M;NL;671450155;09-08-2024;;6259491
LU;918325501;5501;16-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;624555023;5502;13-02-2024;Zwartbont;M;NL;649452150;08-05-2024;;6259491
NL;885055032;5503;13-05-2024;Zwartbont;M;NL;676653300;16-08-2024;;6259491
NL;626555140;5514;29-03-2024;Zwartbont;M;NL;920336452;24-06-2024;;6259491
LU;518395518;5518;09-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;875555250;5525;11-05-2024;Roodbont;M;NL;720999675;16-08-2024;;6259491
BE;918055525;5525;09-05-2024;Roodbont;M;DE;0540370400;09-08-2024;;6259491
BE;318055528;5528;09-05-2024;Zwartbont;M;BE;814803804;09-08-2024;;6259491
NL;698755301;5530;12-02-2024;Zwartbont;M;NL;719652084;08-05-2024;;6259491
NL;698755318;5531;10-02-2024;Zwartbont;M;NL;719652060;08-05-2024;;6259491
NL;576555533;5553;30-03-2024;Zwartbont;M;NL;587385484;24-06-2024;;6259491
NL;948355538;5553;14-05-2024;Zwartbont;M;NL;586352658;09-08-2024;;6259491
NL;629355721;5572;10-02-2024;Zwartbont;M;NL;718149390;08-05-2024;;6259491
NL;629355745;5574;14-02-2024;Zwartbont;M;NL;607252695;08-05-2024;;6259491
NL;692255742;5574;27-03-2024;Zwartbont;M;NL;641544473;24-06-2024;;6259491
LU;418355576;5576;13-05-2024;Roodbont;M;;;09-08-2024;;6259491
NL;692255766;5576;02-04-2024;Zwartbont;M;NL;683051340;24-06-2024;;6259491
NL;692255780;5578;03-04-2024;Zwartbont;M;NL;656348330;24-06-2024;;6259491
NL;610355914;5591;06-01-2024;Zwartbont;M;NL;579848094;11-04-2024;;6259491
NL;542255971;5597;14-02-2024;Zwartbont;M;NL;931054231;08-05-2024;;6259491
BE;917705598;5598;03-01-2024;Zwart-wit;M;BE;814784560;11-04-2024;;6259491
BE;317965603;5603;10-02-2024;Zwartbont;M;BE;714853868;08-05-2024;;6259491
BE;417965608;5608;14-02-2024;Zwartbont;M;BE;818402103;08-05-2024;;6259491
NL;709056098;5609;13-05-2024;Zwartbont;M;NL;583549651;16-08-2024;;6259491
NL;681356104;5610;12-05-2024;Zwartbont;M;NL;718152545;09-08-2024;;6259491
NL;681356111;5611;12-05-2024;Zwartbont;V;NL;840951618;09-08-2024;;6259491
NL;766956135;5613;11-05-2024;Zwartbont;M;NL;892452839;16-08-2024;;6259491
NL;881956407;5640;01-04-2024;Zwartbont;M;NL;662192983;24-06-2024;;6259491
NL;917556434;5643;30-03-2024;Roodbont;M;NL;925653510;24-06-2024;;6259491
NL;626556453;5645;19-05-2024;Zwartbont;M;NL;697643416;09-08-2024;;6259491
LU;518325646;5646;17-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;589156471;5647;13-02-2024;Roodbont;M;NL;895250577;08-05-2024;;6259491
NL;589156488;5648;12-02-2024;Zwartbont;M;NL;878149676;08-05-2024;;6259491
NL;689756489;5648;03-01-2024;Zwartbont;M;NL;593756658;11-04-2024;;6259491
NL;689756496;5649;05-01-2024;Zwartbont;M;NL;715332586;11-04-2024;;6259491
NL;589156503;5650;11-02-2024;Zwartbont;M;NL;572248336;08-05-2024;;6259491
NL;689756504;5650;05-01-2024;Zwartbont;M;NL;598834214;11-04-2024;;6259491
NL;645356548;5654;10-02-2024;Zwartbont;M;NL;653398875;08-05-2024;;6259491
NL;709056649;5664;17-05-2024;Zwartbont;M;NL;610554117;16-08-2024;;6259491
NL;645856707;5670;10-02-2024;Zwartbont;M;NL;729987345;08-05-2024;;6259491
NL;624856755;5675;31-03-2024;Zwartbont;M;NL;874708884;24-06-2024;;6259491
NL;572456845;5684;29-03-2024;Zwartbont;M;NL;723755900;24-06-2024;;6259491
NL;710956848;5684;04-04-2024;Zwartbont;M;NL;546527564;24-06-2024;;6259491
NL;935856857;5685;12-05-2024;Zwartbont;M;NL;573954597;09-08-2024;;6259491
NL;710956862;5686;05-04-2024;Zwartbont;M;NL;609137743;24-06-2024;;6259491
NL;935856864;5686;13-05-2024;Zwartbont;M;NL;699353430;09-08-2024;;6259491
NL;710956879;5687;05-04-2024;Zwartbont;M;NL;723863498;24-06-2024;;6259491
NL;684156886;5688;03-05-2024;Zwartbont;M;NL;612711341;09-08-2024;;6259491
NL;684156901;5690;07-05-2024;Zwartbont;M;NL;611912828;09-08-2024;;6259491
NL;684156918;5691;13-05-2024;Zwartbont;M;NL;612511811;16-08-2024;;6259491
LU;218315693;5693;03-01-2024;Zwartbont;M;;;11-04-2024;;6259491
LU;118315704;5704;23-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;118315705;5705;25-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;681357099;5709;11-02-2024;Zwartbont;M;NL;581954459;08-05-2024;;6259491
NL;768857094;5709;08-05-2024;Zwartbont;M;NL;684655314;09-08-2024;;6259491
NL;598557227;5722;31-03-2024;Roodbont;M;NL;948953301;24-06-2024;;6259491
LU;618315724;5724;16-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;626157472;5747;03-01-2024;Roodbont;M;NL;588532485;11-04-2024;;6259491
NL;578557517;5751;19-05-2024;Zwartbont;M;NL;897053543;09-08-2024;;6259491
BE;117975758;5758;01-04-2024;Zwartbont;M;BE;014402629;24-06-2024;;6259491
BE;817975777;5777;09-05-2024;Zwartbont;M;BE;517472910;09-08-2024;;6259491
NL;597857791;5779;24-04-2024;Blauwbont;M;NL;730354257;09-08-2024;;6259491
NL;597857823;5782;08-05-2024;Zwartbont;M;NL;763952471;09-08-2024;;6259491
LU;518355794;5794;17-05-2024;Zwartbont;M;;;16-08-2024;;6259491
BE;618075803;5803;10-02-2024;Zwartbont;M;BE;120661673;08-05-2024;;6259491
NL;750158059;5805;13-05-2024;Zwartbont;M;NL;936650180;09-08-2024;;6259491
BE;917715807;5807;03-01-2024;Zwartbont;M;BE;117780436;11-04-2024;;6259491
NL;669458109;5810;06-01-2024;Zwartbont;M;NL;579252707;11-04-2024;;6259491
BE;418095812;5812;28-03-2024;Zwartbont;M;BE;214793165;24-06-2024;;6259491
NL;582058240;5824;02-04-2024;Vaalbont (bruin/grijs);M;NL;574154150;24-06-2024;;6259491
NL;669458387;5838;30-03-2024;Zwartbont;M;NL;628954363;24-06-2024;;6259491
NL;889658549;5854;07-05-2024;Zwartbont;M;NL;682170404;09-08-2024;;6259491
NL;711258745;5874;16-02-2024;Zwartbont;M;NL;673241412;08-05-2024;;6259491
NL;711258752;5875;16-02-2024;Zwartbont;M;NL;612853458;08-05-2024;;6259491
NL;732658757;5875;12-05-2024;Zwartbont;M;NL;581054881;09-08-2024;;6259491
NL;562558977;5897;12-05-2024;Zwartbont;M;NL;643753660;09-08-2024;;6259491
NL;925958989;5898;03-04-2024;Zwartbont;M;NL;648357119;24-06-2024;;6259491
NL;581359096;5909;03-01-2024;Zwartbont;M;NL;674052497;11-04-2024;;6259491
NL;581359104;5910;03-01-2024;Zwartbont;M;NL;715555361;11-04-2024;;6259491
NL;874259128;5912;15-05-2024;Zwartbont;M;NL;723354341;16-08-2024;;6259491
NL;715259209;5920;08-01-2024;Zwartbont;M;NL;628452944;11-04-2024;;6259491
LU;218405927;5927;09-05-2024;Zwartbont;M;;;09-08-2024;;6259491
LU;018405931;5931;15-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;717059353;5935;17-05-2024;Roodbont;M;NL;668355272;16-08-2024;;6259491
NL;717059384;5938;03-05-2024;Zwartbont;M;NL;690856219;09-08-2024;;6259491
NL;625959411;5941;09-05-2024;Roodbont;M;NL;718250553;16-08-2024;;6259491
NL;917359561;5956;14-05-2024;Zwartbont;M;NL;671855855;16-08-2024;;6259491
BE;017995968;5968;04-04-2024;Zwartbont;M;BE;214224493;24-06-2024;;6259491
NL;594759766;5976;16-02-2024;Zwartbont;M;NL;886554578;08-05-2024;;6259491
NL;594759773;5977;16-02-2024;Zwartbont;M;NL;936252049;08-05-2024;;6259491
BE;017975980;5980;12-02-2024;Zwart-wit;M;BE;917317125;08-05-2024;;6259491
BE;917975981;5981;14-02-2024;Zwart-wit;M;BE;614867021;08-05-2024;;6259491
BE;317875996;5996;31-03-2024;Zwartbont;M;BE;964191494;24-06-2024;;6259491
NL;588460092;6009;13-05-2024;Zwartbont;M;NL;749551850;09-08-2024;;6259491
BE;917926019;6019;17-05-2024;Rood-wit;M;BE;014886012;16-08-2024;;6259491
BE;017926021;6021;09-05-2024;Zwartbont;M;BE;312642885;09-08-2024;;6259491
BE;917926022;6022;07-05-2024;Roodbont;M;BE;814886022;09-08-2024;;6259491
NL;867960275;6027;14-02-2024;Zwartbont;M;NL;889556368;08-05-2024;;6259491
BE;817926031;6031;28-03-2024;Zwartbont;M;BE;615145627;24-06-2024;;6259491
BE;417926033;6033;18-03-2024;Zwartbont;M;BE;717325713;24-06-2024;;6259491
LU;718366034;6034;02-04-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;818416034;6034;11-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;017926035;6035;14-03-2024;Zwartbont;M;BE;914886030;24-06-2024;;6259491
NL;630460377;6037;27-04-2024;Zwartbont;M;NL;630712418;09-08-2024;;6259491
NL;867960408;6040;11-05-2024;Zwartbont;M;NL;748952766;09-08-2024;;6259491
BE;417926047;6047;13-02-2024;Zwart-wit;M;BE;313665002;08-05-2024;;6259491
NL;630460478;6047;06-05-2024;Zwartbont;M;NL;654008711;09-08-2024;;6259491
BE;217926048;6048;12-02-2024;Rood-wit;M;BE;314354605;08-05-2024;;6259491
NL;630460485;6048;12-05-2024;Zwartbont;M;NL;630712526;16-08-2024;;6259491
NL;726460494;6049;12-05-2024;Zwartbont;M;NL;871046022;09-08-2024;;6259491
NL;641260524;6052;16-05-2024;Zwartbont;M;NL;712756769;16-08-2024;;6259491
LU;218446056;6056;14-05-2024;Zwartbont;M;;;09-08-2024;;6259491
LU;018446060;6060;14-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;117926060;6060;03-01-2024;Rood-wit;M;BE;113755252;11-04-2024;;6259491
LU;318446064;6064;16-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;625960677;6067;08-01-2024;Zwartbont;M;NL;687555769;11-04-2024;;6259491
LU;218386070;6070;31-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;580960741;6074;11-10-2019;Roodbont;M;NL;759758803;27-01-2020;;6259491
LU;818386081;6081;10-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;881961021;6102;03-01-2024;Zwartbont;M;NL;749752509;08-05-2024;;6259491
BE;618236103;6103;17-05-2024;Zwartbont;M;BE;717492220;16-08-2024;;6259491
NL;917361061;6106;12-05-2024;Zwartbont;M;NL;634259034;16-08-2024;;6259491
NL;581361130;6113;08-01-2024;Zwartbont;M;NL;870450222;11-04-2024;;6259491
NL;733961339;6133;08-01-2024;Zwartbont;M;NL;574159782;11-04-2024;;6259491
NL;578461559;6155;16-05-2024;Zwartbont;M;NL;618402597;16-08-2024;;6259491
NL;578461566;6156;16-05-2024;Zwartbont;M;NL;728104570;16-08-2024;;6259491
NL;881961634;6163;12-05-2024;Roodbont;M;NL;566855447;16-08-2024;;6259491
NL;881961658;6165;14-05-2024;Zwartbont;M;NL;687950793;16-08-2024;;6259491
NL;730161703;6170;11-05-2024;Zwartbont;M;NL;587158057;09-08-2024;;6259491
NL;647761782;6178;08-01-2024;Zwartbont;M;NL;587354376;11-04-2024;;6259491
NL;647761799;6179;04-01-2024;Zwartbont;M;NL;924950427;11-04-2024;;6259491
NL;611461801;6180;04-01-2024;Zwartbont;M;NL;672958016;11-04-2024;;6259491
NL;647761807;6180;04-01-2024;Zwartbont;M;NL;941155018;11-04-2024;;6259491
NL;647761814;6181;03-01-2024;Zwartbont;M;DE;1082597899;11-04-2024;;6259491
NL;613361844;6184;12-05-2024;Zwartbont;V;NL;590355483;09-08-2024;;6259491
NL;659262228;6222;11-02-2024;Zwartbont;M;NL;721960153;08-05-2024;;6259491
NL;659262242;6224;11-02-2024;Zwartbont;M;NL;721960090;08-05-2024;;6259491
NL;590062398;6239;17-05-2024;Zwartbont;M;NL;927523246;16-08-2024;;6259491
NL;867862407;6240;10-02-2024;Zwartbont;M;NL;592860910;08-05-2024;;6259491
NL;689462586;6258;17-05-2024;Roodbont;M;NL;567459194;16-08-2024;;6259491
NL;645862665;6266;10-02-2024;Zwartbont;M;NL;714694834;08-05-2024;;6259491
NL;693762700;6270;07-01-2024;Zwartbont;M;NL;695057994;11-04-2024;;6259491
NL;917362970;6297;13-05-2024;Zwartbont;M;NL;699250650;09-08-2024;;6259491
NL;649163113;6311;06-01-2024;Roodbont;M;NL;577409837;11-04-2024;;6259491
BE;617896319;6319;30-03-2024;Zwartbont;M;BE;417296093;24-06-2024;;6259491
BE;117896320;6320;03-04-2024;Zwartbont;M;BE;614575918;24-06-2024;;6259491
NL;547263311;6331;30-03-2024;Roodbont;M;NL;589761686;24-06-2024;;6259491
NL;632763393;6339;08-01-2024;Zwartbont;M;NL;879059787;11-04-2024;;6259491
NL;564463488;6348;14-02-2024;Roodbont;M;NL;964961577;08-05-2024;;6259491
NL;560863521;6352;13-05-2024;Zwartbont;M;NL;655259721;09-08-2024;;6259491
NL;584863615;6361;03-05-2024;Zwartbont;M;NL;760461260;09-08-2024;;6259491
NL;584863653;6365;09-05-2024;Zwartbont;M;NL;729358712;09-08-2024;;6259491
NL;584863660;6366;10-05-2024;Zwartbont;M;NL;642060127;16-08-2024;;6259491
LU;118316383;6383;10-02-2024;Roodbont;M;;;08-05-2024;;6259491
NL;562363876;6387;18-05-2024;Zwartbont;M;NL;897059875;09-08-2024;;6259491
BE;818026390;6390;14-02-2024;Rood-wit;M;BE;012568586;08-05-2024;;6259491
BE;318076394;6394;10-02-2024;Zwart-wit;M;BE;516092855;08-05-2024;;6259491
NL;634263958;6395;09-01-2024;Zwartbont;M;NL;658059333;11-04-2024;;6259491
NL;562363991;6399;01-04-2024;Zwartbont;M;NL;619558776;24-06-2024;;6259491
LU;518316400;6400;14-05-2024;Roodbont;M;;;09-08-2024;;6259491
NL;763564005;6400;08-02-2024;Roodbont;M;NL;579862474;08-05-2024;;6259491
LU;318316401;6401;17-05-2024;Roodbont;M;;;16-08-2024;;6259491
NL;576764021;6402;12-05-2024;Roodbont;M;NL;754360021;09-08-2024;;6259491
NL;930164034;6403;01-04-2024;Zwartbont;M;NL;642056638;24-06-2024;;6259491
NL;581364401;6440;09-02-2024;Zwartbont;M;NL;688862499;08-05-2024;;6259491
BE;917916459;6459;27-03-2024;Roodbont;M;BE;618641152;24-06-2024;;6259491
BE;217916460;6460;02-04-2024;Roodbont;M;BE;614132250;24-06-2024;;6259491
NL;581364627;6462;11-05-2024;Zwartbont;M;NL;688862709;09-08-2024;;6259491
BE;117916467;6467;13-05-2024;Roodbont;M;BE;414944164;09-08-2024;;6259491
NL;566164684;6468;05-05-2024;Roodbont;M;NL;575462845;16-08-2024;;6259491
BE;317976469;6469;03-01-2024;Zwart-wit;M;BE;414466523;11-04-2024;;6259491
LU;118316481;6481;02-04-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;645864902;6490;06-05-2024;Zwartbont;M;NL;688661834;09-08-2024;;6259491
BE;118066501;6501;17-05-2024;Zwart-wit;M;BE;617552327;16-08-2024;;6259491
NL;610265031;6503;15-05-2024;Zwartbont;M;NL;607262391;16-08-2024;;6259491
BE;368716505;6505;17-05-2024;Zwart-wit;M;BE;064402630;16-08-2024;;6259491
NL;640165235;6523;11-02-2024;Zwartbont;M;NL;572562894;08-05-2024;;6259491
NL;943565404;6540;02-04-2024;Zwartbont;M;NL;746564026;24-06-2024;;6259491
BE;466866561;6561;09-02-2024;Zwart-wit;M;BE;663550824;08-05-2024;;6259491
LU;718316573;6573;17-05-2024;Zwartbont;M;;;16-08-2024;;6259491
LU;618316579;6579;22-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;118316580;6580;22-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;218296580;6580;12-02-2024;Zwartbont;M;;;08-05-2024;;6259491
NL;646365893;6589;06-01-2024;Zwartbont;M;NL;658456008;11-04-2024;;6259491
BE;917946593;6593;17-05-2024;Zwart-wit;M;BE;414634175;16-08-2024;;6259491
LU;418296612;6612;26-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;581566223;6622;17-05-2024;Zwartbont;M;NL;579859375;16-08-2024;;6259491
NL;894466243;6624;08-01-2024;Zwartbont;M;NL;632712535;11-04-2024;;6259491
BE;317736631;6631;31-03-2024;Zwartbont;M;BE;918660273;24-06-2024;;6259491
NL;766966451;6645;09-02-2024;Zwartbont;M;NL;657536107;08-05-2024;;6259491
NL;719366541;6654;12-02-2024;Zwartbont;M;NL;649061684;08-05-2024;;6259491
NL;927666565;6656;17-05-2024;Zwartbont;M;NL;945459875;09-08-2024;;6259491
NL;627666582;6658;14-02-2024;Zwartbont;M;NL;683158603;08-05-2024;;6259491
NL;942466625;6662;11-02-2024;Zwartbont;M;NL;573362543;08-05-2024;;6259491
NL;943566678;6667;13-02-2024;Zwartbont;M;NL;595563478;08-05-2024;;6259491
NL;694866779;6677;03-04-2024;Zwartbont;M;NL;662364450;24-06-2024;;6259491
NL;766966778;6677;15-05-2024;Zwartbont;M;NL;588253214;09-08-2024;;6259491
BE;918046677;6677;13-05-2024;Zwartbont;M;BE;214058833;16-08-2024;;6259491
NL;766966785;6678;16-05-2024;Zwartbont;M;NL;612237900;16-08-2024;;6259491
NL;766966800;6680;18-05-2024;Zwartbont;M;NL;588253500;09-08-2024;;6259491
NL;581567055;6705;29-03-2024;Roodbont;M;NL;666061050;24-06-2024;;6259491
BE;517986708;6708;02-04-2024;Zwartbont;M;DE;0540152866;24-06-2024;;6259491
BE;317986709;6709;02-04-2024;Zwartbont;M;BE;118792228;24-06-2024;;6259491
BE;517986725;6725;13-05-2024;Zwartbont;M;BE;161818432;09-08-2024;;6259491
NL;678767300;6730;10-05-2024;Zwartbont;M;NL;757163478;09-08-2024;;6259491
NL;719367304;6730;11-02-2024;Zwartbont;M;NL;643264434;08-05-2024;;6259491
BE;417996731;6731;14-02-2024;Zwartbont;M;BE;020171064;08-05-2024;;6259491
LU;518346738;6738;28-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;318346742;6742;30-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;547067465;6746;01-04-2024;Zwartbont;M;NL;743059884;24-06-2024;;6259491
BE;517996753;6753;03-04-2024;Zwartbont;M;BE;121131218;24-06-2024;;6259491
NL;888767635;6763;14-05-2024;Zwartbont;M;NL;573058286;16-08-2024;;6259491
LU;018316781;6781;10-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;757867842;6784;11-05-2024;Zwartbont;M;DE;1603770466;09-08-2024;;6259491
LU;118316786;6786;15-05-2024;Zwartbont;M;;;09-08-2024;;6259491
LU;618346794;6794;15-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;217906804;6804;13-02-2024;Zwart-wit;M;BE;117424701;08-05-2024;;6259491
NL;661568068;6806;07-05-2024;Roodbont;M;NL;620664798;16-08-2024;;6259491
LU;318316852;6852;13-02-2024;Zwartbont;M;;;08-05-2024;;6259491
LU;118316853;6853;14-02-2024;Zwartbont;M;;;08-05-2024;;6259491
NL;578468606;6860;14-02-2024;Zwartbont;M;NL;692135103;08-05-2024;;6259491
LU;818316869;6869;31-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;118316871;6871;03-04-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;844168887;6888;11-02-2024;Roodbont;M;NL;625067574;08-05-2024;;6259491
NL;577168969;6896;03-04-2024;Zwartbont;M;NL;755265246;24-06-2024;;6259491
NL;622569084;6908;10-02-2024;Zwartbont;M;NL;885663626;08-05-2024;;6259491
NL;562769168;6916;04-04-2024;Zwartbont;M;NL;684563877;24-06-2024;;6259491
BE;618026925;6925;12-02-2024;Zwartbont;M;BE;623862201;08-05-2024;;6259491
NL;614769311;6931;04-05-2024;Blauwbont;M;NL;733859700;16-08-2024;;6259491
NL;614769328;6932;14-05-2024;Roodbont;V;NL;696965388;16-08-2024;;6259491
LU;118376955;6955;25-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;646369585;6958;09-02-2024;Zwartbont;M;NL;756359324;08-05-2024;;6259491
LU;518306966;6966;11-02-2024;Zwartbont;M;;;08-05-2024;;6259491
NL;888769989;6998;19-05-2024;Zwartbont;M;NL;566362846;09-08-2024;;6259491
NL;888770169;7016;30-03-2024;Blauwbont;V;NL;948250473;24-06-2024;;6259491
NL;711270244;7024;03-04-2024;Zwartbont;M;NL;634466146;24-06-2024;;6259491
LU;418357053;7053;08-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;615870551;7055;12-02-2024;Zwartbont;M;NL;713762060;08-05-2024;;6259491
NL;590070625;7062;31-03-2024;Zwartbont;M;NL;683065341;24-06-2024;;6259491
NL;574270766;7076;15-02-2024;Zwartbont;M;NL;933469141;08-05-2024;;6259491
BE;218117101;7101;16-05-2024;Zwartbont;M;BE;327282158;16-08-2024;;6259491
NL;573671487;7148;09-02-2024;Roodbont;M;NL;531565148;08-05-2024;;6259491
LU;118347150;7150;02-04-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;590071503;7150;09-02-2024;Zwartbont;M;NL;572996644;08-05-2024;;6259491
LU;018347156;7156;13-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;615871770;7177;03-04-2024;Zwartbont;M;NL;672270251;24-06-2024;;6259491
BE;018037184;7184;08-05-2024;Roodbont;M;BE;617347025;09-08-2024;;6259491
BE;718037186;7186;17-05-2024;Rood-wit;M;BE;117347037;16-08-2024;;6259491
LU;018367200;7200;03-01-2024;Zwartbont;M;;;11-04-2024;;6259491
NL;713972001;7200;12-02-2024;Zwartbont;M;NL;682468330;08-05-2024;;6259491
NL;546972182;7218;26-03-2024;Roodbont;M;NL;884672715;24-06-2024;;6259491
BE;817767270;7270;11-02-2024;Zwart-wit;M;BE;714874493;08-05-2024;;6259491
BE;617767271;7271;11-02-2024;Zwart-wit;M;BE;317253754;08-05-2024;;6259491
NL;573672721;7272;02-12-2023;Roodbont;M;NL;936265218;23-02-2024;;6259491
NL;610072796;7279;31-03-2024;Roodbont;M;NL;675571739;24-06-2024;;6259491
NL;590072809;7280;12-05-2024;Zwartbont;M;NL;566569524;09-08-2024;;6259491
NL;624872953;7295;17-05-2024;Zwartbont;M;NL;481467453;16-08-2024;;6259491
NL;709072962;7296;11-02-2024;Zwartbont;M;NL;648265216;08-05-2024;;6259491
NL;592572976;7297;04-05-2024;Roodbont;M;NL;943965767;09-08-2024;;6259491
NL;620572972;7297;30-03-2024;Zwartbont;M;DE;0362953421;24-06-2024;;6259491
NL;709072979;7297;10-02-2024;Zwartbont;M;NL;656940509;08-05-2024;;6259491
NL;592572983;7298;04-05-2024;Roodbont;M;NL;943965767;16-08-2024;;6259491
LU;418317300;7300;03-01-2024;Roodbont;M;;;11-04-2024;;6259491
NL;947373027;7302;22-03-2024;Zwartbont;M;NL;933862667;24-06-2024;;6259491
