Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
NL;629338265;3826;15-05-2024;Zwartbont;M;NL;695836696;09-08-2024;;6259491
NL;610338319;3831;15-05-2024;Roodbont;M;NL;628135115;09-08-2024;;6259491
BE;117933834;3834;01-04-2024;Zwartbont;M;BE;814868815;24-06-2024;;6259491
NL;722338344;3834;04-01-2024;Zwartbont;M;NL;628035000;11-04-2024;;6259491
BE;766813834;3834;12-02-2024;Zwart-wit;M;BE;264560934;08-05-2024;;6259491
BE;117933835;3835;01-04-2024;Zwartbont;M;BE;117338855;24-06-2024;;6259491
NL;722338351;3835;05-01-2024;Zwartbont;M;NL;637734116;11-04-2024;;6259491
NL;722338368;3836;05-01-2024;Zwartbont;M;NL;752230823;11-04-2024;;6259491
BE;668743838;3838;17-05-2024;Zwart-wit;M;BE;164740472;16-08-2024;;6259491
LU;318483843;3843;13-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;722338647;3864;17-05-2024;Zwartbont;M;NL;644235486;09-08-2024;;6259491
NL;722338654;3865;18-05-2024;Zwartbont;M;NL;581635749;09-08-2024;;6259491
NL;722338661;3866;19-05-2024;Zwartbont;M;NL;685632394;09-08-2024;;6259491
NL;591638804;3880;12-02-2024;Zwartbont;M;NL;636532913;08-05-2024;;6259491
BE;117783886;3886;12-02-2024;Rood-wit;M;BE;114052703;08-05-2024;;6259491
LU;218293890;3890;14-02-2024;Zwartbont;M;;;08-05-2024;;6259491
LU;818343909;3909;20-03-2024;Zwartbont;M;;;24-06-2024;;6259491
BE;017953929;3929;12-02-2024;Zwart-wit;M;BE;714269955;08-05-2024;;6259491
NL;874239315;3931;08-05-2024;Zwartbont;M;NL;549137429;09-08-2024;;6259491
NL;897339328;3932;15-02-2024;Blauwbont;M;NL;577232550;08-05-2024;;6259491
NL;940239405;3940;09-01-2024;Zwartbont;M;NL;621035298;11-04-2024;;6259491
BE;318013943;3943;12-02-2024;Zwart-wit;M;BE;016200452;08-05-2024;;6259491
BE;718113943;3943;11-05-2024;Zwartbont;M;BE;521572035;09-08-2024;;6259491
BE;518063949;3949;14-02-2024;Zwart-wit;M;BE;514551921;08-05-2024;;6259491
NL;698739499;3949;31-03-2024;Zwartbont;M;NL;931036804;24-06-2024;;6259491
NL;867439542;3954;13-05-2024;Zwartbont;M;NL;657638395;16-08-2024;;6259491
NL;625939608;3960;14-02-2024;Zwartbont;M;NL;612528873;08-05-2024;;6259491
BE;717963962;3962;09-02-2024;Zwart-wit;M;BE;914903456;08-05-2024;;6259491
NL;709539652;3965;28-03-2024;Zwartbont;V;NL;682618036;24-06-2024;;6259491
NL;734739890;3989;03-05-2024;Roodbont;M;NL;867737718;16-08-2024;;6259491
BE;418254005;4005;14-02-2024;Zwart-wit;M;BE;815298507;08-05-2024;;6259491
NL;627640106;4010;15-05-2024;Zwartbont;M;NL;919161456;16-08-2024;;6259491
BE;918104044;4044;12-02-2024;Roodbont;M;BE;021920041;08-05-2024;;6259491
LU;718454047;4047;25-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;518454048;4048;25-03-2024;Roodbont;M;;;24-06-2024;;6259491
NL;597840513;4051;17-05-2024;Zwartbont;M;NL;580535633;16-08-2024;;6259491
BE;718534058;4058;25-03-2024;Zwartbont;M;BE;220781254;24-06-2024;;6259491
