epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.967,4.78495,11.7181,4.0458,0,0,0,0,5.49579,4.9386,4.16736,0.00013,0.00013,0.00013
2,21.8893,4.93278,9.25852,4.19333,0,0,0,0,5.49689,4.91185,4.17424,0.00021253,0.00021253,0.00021253
3,28.0678,4.97334,8.57464,4.12473,0,0,0,0,5.49361,4.89262,4.17649,0.0002416,0.0002416,0.0002416
4,35.0763,4.80064,8.6496,4.07994,0,0,0,0,5.48332,4.85106,4.17045,0.000203,0.000203,0.000203
5,42.5981,4.92265,9.77021,4.0844,0,0,0,0,5.46298,4.75248,4.14175,0.000104,0.000104,0.000104
